'Niacin','Total Fat','Potassium','Riboflavin','Vitamin B-6','Sodium','Thiamin','Pantothenic acid','Trans Fat','Monounsaturated Fat','Total Carbohydrate','Sugars','Polyunsaturated Fat','Cholesterol','Vitamin A','Vitamin C','Saturated Fat','Vitamin D','Iron','Protein','Vitamin B-12','Dietary Fiber','Energy','Calcium'
," 0.00 Grams
          ",,,," 60.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 2.00 Grams
          ",,,,
," 4.00 Grams
          ",,,," 0.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 8.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 2.00 Grams
          ",,,," 120.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 3.00 Grams
          ",,,,
," 0.00 Grams
          ",,,," 333.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 7.00 Grams
          ",,,,
," 1.00 Grams
          ",,,," 450.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 7.00 Grams
          ",,,,
," 11.00 Grams
          ",,,," 90.00 Milligrams
          ",,,,," 
          ",,," 30.00 Milligrams
          ",,,,,," 0.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 5.00 Grams
          ",,,," 15.00 Milligrams
          ",,,,," 
          ",,," 20.00 Milligrams
          ",,,,,," 1.00 Grams
          ",,,,
," 2.50 Grams
          ",,,," 130.00 Milligrams
          ",,,,," 
          ",,," 10.00 Milligrams
          ",,,,,," 8.00 Grams
          ",,,,
," 11.00 Grams
          ",,,," 90.00 Milligrams
          ",,,,," 
          ",,," 20.00 Milligrams
          ",,,,,," 0.00 Grams
          ",,,,
," 0.00 Grams
          ",,,," 0.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 2.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 6.00 Grams
          ",,,," 430.00 Milligrams
          ",,,,," 
          ",,," 35.00 Milligrams
          ",,,,,," 5.00 Grams
          ",,,,
," 5.00 Grams
          ",,,," 70.00 Milligrams
          ",,,,," 
          ",,," 185.00 Milligrams
          ",,,,,," 6.00 Grams
          ",,,,
," 6.00 Grams
          ",,,," 220.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 2.00 Grams
          ",,,,
," 5.00 Grams
          ",,,," 160.00 Milligrams
          ",,,,," 
          ",,," 20.00 Milligrams
          ",,,,,," 1.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 5.00 Grams
          ",,,," 125.00 Milligrams
          ",,,,," 
          ",,," 40.00 Milligrams
          ",,,,,," 2.00 Grams
          ",,,,
," 8.00 Grams
          ",,,," 90.00 Milligrams
          ",,,,," 
          ",,," 5.00 Milligrams
          ",,,,,," 1.00 Grams
          ",,,,
," 1.50 Grams
          ",,,," 330.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 5.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 0.00 Grams
          ",,,," 450.00 Milligrams
          ",,,,," 
          ",,," 125.00 Milligrams
          ",,,,,," 17.00 Grams
          ",,,,
," 0.00 Grams
          ",,,," 0.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 1.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
," 0.00 Grams
          ",,,," 5.00 Milligrams
          ",,,,," 
          ",,," 0.00 Milligrams
          ",,,,,," 1.00 Grams
          ",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
